Order,Issue Key,Summary,Description,Story Points,Epic Link,Acceptance Criteria
43,US20,Publicar un servicio personalizado,"Como freelancer, deseo publicar un servicio con título, descripción y precio para ofrecerlo a potenciales clientes.",5,EP05,"Escenario 1: Dado que un freelancer completa los datos del servicio, cuando el sistema los valida, entonces registra la publicación. | Escenario 2: Dado que falta un campo obligatorio, cuando intenta guardar, entonces el sistema indica la información faltante."
44,US17,Establecer tarifas por servicio,"Como freelancer, deseo establecer mis tarifas por tipo de servicio para que los clientes conozcan mis precios.",3,EP05,"Escenario 1: Dado que un freelancer asigna una tarifa válida, cuando el sistema valida el valor ingresado, entonces registra el precio y lo muestra públicamente. | Escenario 2: Dado que el freelancer ingresa un valor fuera de rango, cuando intenta guardarlo, entonces el sistema rechaza la tarifa e informa el error."
45,US21,Establecer plazos de entrega,"Como freelancer, deseo definir el tiempo de entrega estimado para que el cliente tenga expectativas claras.",5,EP05,"Escenario 1: Dado que un freelancer define un plazo, cuando el sistema valida el valor, entonces lo registra y muestra públicamente. | Escenario 2: Dado que el plazo está registrado, cuando el servicio se consulta, entonces incluye los días estimados."
46,US24,Añadir imágenes o archivos al servicio,"Como freelancer, deseo subir imágenes o archivos a mis servicios para facilitar la comprensión del cliente.",3,EP05,"Escenario 1: Dado que un freelancer sube archivos permitidos, cuando el sistema valida el contenido, entonces los muestra asociados al servicio. | Escenario 2: Dado que sube múltiples imágenes, cuando el servicio se visualiza, entonces el sistema permite recorrerlas secuencialmente."
47,US22,Editar servicios publicados,"Como freelancer, deseo editar mis servicios publicados para corregir errores o actualizar precios.",5,EP05,"Escenario 1: Dado que un freelancer modifica la información de un servicio, cuando el sistema la valida, entonces actualiza la publicación. | Escenario 2: Dado que el servicio es editado, cuando un usuario lo consulta, entonces visualiza la versión actualizada."
48,US23,Pausar o eliminar servicios publicados,"Como freelancer, deseo pausar o eliminar mis servicios para dejar de recibir solicitudes cuando no tengo disponibilidad.",5,EP05,"Escenario 1: Dado que un freelancer decide pausar o eliminar un servicio, cuando el sistema procesa la acción, entonces lo retira de la vista pública. | Escenario 2: Dado que el servicio está pausado o eliminado, cuando el freelancer revisa su listado, entonces el sistema muestra su estado actual."
49,US19,Actualizar perfil freelance,"Como freelancer, deseo poder actualizar mi perfil cuando quiera para mantener mi información al día.",3,EP03,"Escenario 1: Dado que un freelancer modifica datos válidos, cuando el sistema los valida, entonces actualiza la información públicamente. | Escenario 2: Dado que el perfil es actualizado, cuando consulta su vista pública, entonces los cambios se muestran sin procesos adicionales."
50,SP03,Investigación de motores de búsqueda y filtros,"Como equipo de desarrollo, deseo investigar motores de búsqueda eficientes para mejorar la experiencia de encontrar freelancers.",2,EP06,"Escenario 1: Dado que se revisan alternativas, cuando se documentan pros y contras, entonces se incluye una recomendación técnica. | Escenario 2: Dado que se desarrolla un prototipo, cuando se ejecuta en un dataset, entonces se mide el tiempo de respuesta."
51,US25,Buscar freelancers por palabra clave,"Como cliente, deseo buscar freelancers usando palabras clave para encontrar rápidamente lo que necesito.",3,EP06,"Escenario 1: Dado que un cliente ingresa una palabra clave, cuando el sistema procesa la búsqueda, entonces muestra freelancers relacionados. | Escenario 2: Dado que ingresa múltiples palabras, cuando el sistema filtra, entonces muestra coincidencias con al menos una de ellas."
52,TS02,Endpoint de búsqueda del catálogo,"Como developer, deseo implementar el endpoint GET /api/v1/gigs con filtros de texto, habilidades, precio y ordenamiento para que los clientes exploren el catálogo.",3,EP06,"Escenario 1: Dado que existen servicios publicados que cumplen los filtros, cuando se procesa GET /api/v1/gigs?q=logo&minPrice=50&maxPrice=200, entonces la API responde 200 OK con la lista paginada y el total de resultados. | Escenario 2: Dado que ningún servicio cumple los filtros, cuando se procesa la solicitud, entonces la API responde 200 OK con una lista vacía y total 0. | Escenario 3: Dado que minPrice es mayor que maxPrice, cuando se procesa la solicitud, entonces la API responde 400 Bad Request."
53,US26,Filtrar freelancers por habilidad,"Como cliente, deseo filtrar freelancers según sus habilidades para encontrar al más apto para mi proyecto.",3,EP06,"Escenario 1: Dado que el cliente selecciona una habilidad, cuando el sistema filtra, entonces muestra solo freelancers que la tengan registrada. | Escenario 2: Dado que selecciona varias habilidades, cuando el sistema filtra, entonces muestra freelancers que cumplan con al menos una de ellas."
54,US29,Ordenar resultados de búsqueda,"Como cliente, deseo ordenar resultados por relevancia o calificación para comparar perfiles.",3,EP06,"Escenario 1: Dado que un cliente elige un criterio de ordenamiento, cuando el sistema procesa la solicitud, entonces reordena los resultados. | Escenario 2: Dado que cambia el criterio, cuando se muestran los resultados, entonces se mantienen los filtros aplicados."
55,US27,Filtrar por rango de precios,"Como cliente, deseo establecer un rango de precios para ver freelancers dentro de mi presupuesto.",5,EP06,"Escenario 1: Dado que el cliente define un rango, cuando el sistema filtra, entonces muestra freelancers dentro del presupuesto. | Escenario 2: Dado que no existen coincidencias, cuando el sistema completa el filtrado, entonces informa que no hay resultados."
56,US28,Filtrar freelancers por experiencia,"Como cliente, deseo filtrar freelancers según su nivel de experiencia para elegir al adecuado.",5,EP06,"Escenario 1: Dado que un cliente selecciona un nivel, cuando el sistema procesa el filtro, entonces muestra freelancers con dicho nivel. | Escenario 2: Dado que el freelancer tiene nivel registrado, cuando aparece en los resultados, entonces el sistema muestra su nivel en la tarjeta informativa."
57,SP07,Contratación directa y pagos,"Como equipo de desarrollo, deseo investigar opciones de integración de pagos para habilitar contrataciones directas.",2,EP08,"Escenario 1: Dado que se revisan APIs de pago, cuando se comparan, entonces se documentan dependencias y requisitos legales. | Escenario 2: Dado que se desarrolla un prototipo, cuando el cliente confirma, entonces se genera un registro de prueba."
58,US30,Contratar desde el perfil del freelancer,"Como cliente, deseo contratar a un freelancer directamente desde su perfil para ahorrar tiempo al iniciar una negociación.",5,EP08,"Escenario 1: Dado que un cliente consulta el perfil del freelancer, cuando envía una solicitud de contratación, entonces el sistema registra la solicitud. | Escenario 2: Dado que la contratación fue iniciada, cuando el sistema la procesa, entonces se registra en el historial del cliente."
59,US35,Gestionar solicitudes recibidas,"Como freelancer, deseo revisar y gestionar solicitudes de nuevos proyectos para aceptar las que se ajusten a mi disponibilidad.",3,EP08,"Escenario 1: Dado que el freelancer tiene solicitudes pendientes, cuando accede al panel, entonces el sistema muestra los detalles de cada solicitud. | Escenario 2: Dado que acepta o rechaza una solicitud, cuando el sistema procesa la acción, entonces actualiza su estado."
60,US32,Aceptar o rechazar solicitud de contrato,"Como freelancer, deseo aceptar o rechazar solicitudes de contratación para gestionar mi disponibilidad.",3,EP08,"Escenario 1: Dado que un freelancer recibe una solicitud, cuando consulta los detalles, entonces puede aceptarla o rechazarla. | Escenario 2: Dado que rechaza una solicitud, cuando registra la acción, entonces el sistema almacena el motivo si fue proporcionado."
